folder,taxo59_match,confidence,consistent,food_seen,caveat,note
BBQ,none,high,False,"혼합 바비큐 — 삼겹살/소고기구이(한식 불판), 양식 핫도그·햄버거패티·소시지·옥수수, 양념고기 슬랩, 꼬치(케밥)","한 폴더에 5종 이상 혼재(한식 삼겹살, 양식 소시지/패티/옥수수, 케밥 꼬치, 양념고기). 단일 음식이 아니라 어떤 taxo59 클래스에도 매핑 부적합. 일부는 grilled-pork-belly/grilled-beef로 보이나 양식 BBQ(소시지·햄버거)와 섞여 학습 라벨 오염 위험.",5장 이상이 서로 다른 음식(한식 구이+양식 BBQ+케밥)으로 일관성 없음 → none.
baek_sook,none,medium,True,"닭백숙/닭전골 — 맑거나 뽀얀 국물에 통닭·닭조각, 마늘·대추·대파·부추·버섯, 일부는 전복백숙·오골계","5장 모두 한식 닭백숙(삶은/끓인 닭 국물요리)으로 일관되나, taxo59에 백숙/삼계탕 전용 클래스가 없음. hot-pot(전골)은 즉석 테이블 국물전골을 의미하고 baeksuk은 완성된 솥요리라 시각·의미가 다름. korean-clear-soup(맑은국)은 곁들임 국물요리라 양상 다름. 억지 매핑 시 라벨 오염 위험.",닭백숙으로 일관되나 대응 taxo59 클래스 부재 → 보수적으로 none.
baguette,bread,high,True,"바게트(플레인 바게트, 갈릭/치즈 바게트, 올리브빵 등 식사용 빵 덩어리)",,"전부 속재료 없는 바게트/식사빵 덩어리라 bread 클래스에 시각·의미 모두 명확히 일치, 학습 보강 적합."
banh_mi,sandwich,medium,True,"반미(베트남식 바게트 샌드위치, 구운 고기·당근피클·고수·고추 채움)",베트남 cuisine(반미)으로 한식/양식 샌드위치와 결이 다름. 바게트를 갈라 속을 채운 형태라 시각상 sandwich와 일치하나 단면이 흰빵 식빵 샌드위치와는 외형 차이 있음.,"전부 바게트를 갈라 채운 샌드위치 형태로 sandwich와 시각 일치하나, 베트남 cuisine 차이로 medium."
beef_tartare,none,high,True,육회/소고기 타르타르(생소고기 다짐),육회·스테이크 타르타르(생소고기)에 해당하는 taxo59 클래스가 없음. raw-fish(회)는 생선회/사시미 전용이라 생소고기를 매핑하면 안 됨. 한식 육회와 양식 스테이크 타르타르가 혼재.,"10장 모두 생소고기 타르타르로 일관되나, 대응되는 59클래스가 없어 none."
bibimbap,mixed-rice-bowl,medium,False,비빔밥(채소·고추장·계란/소고기 올린 밥),"대부분 비빔밥이지만 일부 이질 이미지 혼입: bibimbap_0188은 밥 없는 오징어볶음, bibimbap_0282는 오징어덮밥(계란프라이)에 가까움. 학습 보강 시 해당 오프클래스 이미지 필터링 권장.","8/10은 비빔밥(mixed-rice-bowl)으로 명확, 2장(오징어볶음·오징어덮밥류)은 다른 음식이라 클리닝 필요."
bingsu,none,high,True,빙수(팥빙수·딸기빙수·인절미빙수·초코/브라우니빙수 등 한국식 빙수),taxo59에 빙수/빙과/디저트 클래스 자체가 없음(cake·bread만 존재). 시각·의미 일치 클래스 부재로 매핑 불가.,10장 모두 한국식 빙수 디저트로 일관되나 대응 클래스가 없어 none.
bulgogi,bulgogi,high,True,"불고기(양념 소불고기 볶음·구이, 일부 불고기전골/대패불고기)","대부분 플레이팅된 양념 소불고기로 클래스와 일치. 단 1장(bulgogi_0185)은 국물·당면 있는 불고기전골이라 hot-pot에 가깝고, 1장은 호일판 양념구이로 외형 변이 있음. 보강용으로는 적합.","10장 모두 양념 소불고기 계열로 의미 일관, 일부 전골/구이 외형 변이만 존재해 high."
bunza,none,high,False,베트남 분(bún·쌀국수 비빔/볶음국수)·분짜·분팃느엉(구운고기+쌀국수)·튀긴 짜조(스프링롤)·느억맘 소스,"폴더명 'bunza'는 베트남 쌀국수 요리(분/bún) 시리즈. 한식이 아닌 베트남 cuisine이며, 마른 쌀국수+구운고기+생야채+튀긴 스프링롤+피시소스 조합. taxo59의 noodle-plain(잔치국수)·rice-noodle-soup(쌀국수=국물 쌀국수/포)·cold-noodles(냉면) 어느 것과도 시각·의미가 다름(국물 없는 비빔형 베트남 분). grilled-pork-belly/grilled-beef로도 억지매핑 불가(접시 메인이 쌀국수 한끼).",베트남 분(bún) 요리군으로 음식 종류가 분짜·분팃느엉·짜조·매운 국수 등으로 다양하며 한식 59클래스에 대응 클래스 없음 → none
burger,hamburger,high,True,"햄버거(소고기 패티·치킨가스 패티, 브리오슈/참깨/블랙번, 감자튀김 곁들임)",일부 사진에 사이드로 감자튀김이 함께 나오나 메인 피사체는 명확히 버거. fried-chicken·fried-food-platter와 혼동 소지 없음.,10장 모두 빵+패티 구조의 햄버거로 일관 → taxo59 hamburger에 high 신뢰로 매핑 가능
